"","HALE.M.95","YLD.M.95","HALE.M.15","YLD.M.15","HALE.F.95","YLD.F.95","HALE.F.15","YLD.F.15"
"1",59.777425,7.622575,63.338072,8.06192800000001,65.848876,8.95112399999999,68.88132,9.51868
"2",60.921587,8.078413,65.865754,8.734246,67.334621,9.665379,70.744898,10.155102
"3",61.987768,7.912232,66.942953,8.957047,67.534374,9.465626,71.406617,10.293383
"4",58.305083,7.194917,64.706818,8.493182,65.446453,9.35354699999999,69.756132,10.143868
"5",59.960888,7.639112,64.964439,8.43556100000001,67.127992,9.272008,71.526919,10.073081
"6",58.058212,7.34178800000001,63.398002,8.101998,64.759969,8.940031,69.44151,9.55849000000001
"7",60.569724,7.930276,65.211797,8.788203,67.297696,9.202304,70.917308,9.982692
"8",62.570711,8.129289,68.664186,9.235814,68.477955,9.822045,73.205831,10.594169
"9",54.691706,6.808294,64.885631,8.514369,64.563137,9.536863,71.083353,10.316647
"10",53.665124,6.634876,62.482611,8.117389,63.775575,9.224425,69.627164,10.072836
"11",56.105465,7.094535,61.55352,8.14648,65.413321,9.586679,70.020239,10.379761
"12",64.963035,8.33696499999999,69.592573,9.207427,69.470918,10.529082,72.424947,11.275053
"13",65.029635,8.470365,68.62178,9.17822,69.411364,10.688636,71.960073,11.239927
"14",65.580317,8.41968300000001,69.379116,9.32088400000001,68.935352,10.564648,73.411255,11.588745
"15",64.795963,8.30403699999999,69.213779,9.08622099999999,67.766894,10.233106,71.391168,11.008832
"16",64.559999,8.340001,68.585199,9.414801,69.522783,10.777217,72.372334,11.527666
"17",65.756638,8.343362,69.299293,9.100707,71.171419,10.928581,73.826575,11.373425
"18",64.906452,8.393548,69.31013,9.08987,68.924771,10.775229,71.854047,11.345953
"19",66.732642,8.267358,69.603562,8.79643800000001,70.117521,10.482479,72.64058,10.85942
"20",66.002096,8.597904,69.736479,9.463521,69.002729,10.597271,72.940723,11.359277
"21",66.432712,8.367288,70.583872,9.01612799999999,70.302384,10.897616,73.097364,11.502636
"22",64.597475,8.902525,70.093412,9.806588,68.929812,11.170188,72.471445,11.828555
"23",66.960394,8.839606,70.166353,9.533647,70.004267,10.895733,72.973229,11.526771
"24",66.145684,8.554316,69.89246,9.30754,69.338463,11.061537,71.931541,11.468459
"25",63.397958,8.302042,68.611424,9.088576,68.405701,10.794299,72.401182,11.498818
"26",65.897685,8.30231500000001,70.908708,8.89129199999999,70.96863,10.63137,74.27329,11.02671
"27",67.573459,8.726541,70.701044,9.49895600000001,71.099028,10.400972,73.044777,10.955223
"28",65.649452,8.350548,69.856345,9.143655,69.132496,10.167504,72.08521,10.71479
